model,accuracy,precision,recall,f1,roc_auc,params_note
logistic_regression,0.5319444444444444,0.5359382537385432,0.6057797164667393,0.5687228052213975,0.5321160883327507,LogisticRegression
hist_gradient_boosting,0.5169444444444444,0.5235966219572777,0.5747001090512541,0.5479594489212374,0.51447152132057,HistGradientBoostingClassifier
random_forest,0.5116666666666667,0.5291858678955453,0.3756815703380589,0.43941326530612246,0.520437847577716,RandomForestClassifier
