month,equity_start,equity_end,pnl_sum,trades,return_pct
2024-12,1.0,1.0798941,0.07863250856699999,25,7.989409999999997
2025-01,1.0798941,2.0882676,0.677774732639,49,93.37707280741697
2025-02,2.083741,1.4531276,-0.360754045404,1,-30.26352123416489
2025-03,1.42865,7.126009,1.664897616774,6,398.79319637419945
2025-04,7.185039,12.343431,0.5656223492125,1,71.7935142732002
2025-05,12.24707,8.6332855,-0.354739046954,29,-29.507339306462697
2025-06,8.646107,8.35545,-0.02372221102600001,1,-3.3617094953833138
2025-07,8.311166,9.299311,0.114566370675,1,11.889366666482172
2025-08,9.339417,6.572833,-0.34414070142,1,-29.62266274222469
2025-09,6.5333986,10.101114,0.439148598877,1,54.60734325929542
2025-10,10.136348,43.710667,1.485788883989,1,331.2269764218829
2025-11,43.941628,35.530045,-0.203765034987,1,-19.142629399165635
2025-12,34.251633,24.765688,-0.3558612517,4,-27.694869321996997
