timestamp,pnl,equity,pos,prob
2025-01-01 05:15:00,0.0048358697,1.0048358,-1.0,0.038257997
2025-01-01 05:30:00,0.004967817,1.0098277,-1.0,0.038866572
2025-01-01 05:45:00,0.004886092,1.0147619,-1.0,0.04376323
2025-01-01 06:00:00,0.0028547272,1.0176588,-1.0,0.04213242
2025-01-01 06:15:00,0.0016055633,1.0192927,-1.0,0.04497786
2025-01-01 06:30:00,0.0009930179,1.0203049,-1.0,0.040057488
2025-01-01 06:45:00,0.0034869786,1.0238627,-1.0,0.044125192
2025-01-01 07:00:00,0.0025214632,1.0264444,-1.0,0.046712227
2025-01-01 07:15:00,-0.000937579,1.025482,-1.0,0.0552137
2025-01-01 07:30:00,-0.0005155013,1.0249534,-1.0,0.05292597
2025-01-01 07:45:00,-0.0013829162,1.023536,-1.0,0.055550706
2025-01-01 08:00:00,0.000810096,1.0243652,-1.0,0.06275655
2025-01-01 08:15:00,-0.0033703356,1.0209128,-1.0,0.058613293
2025-01-01 08:30:00,-0.003431582,1.0174094,-1.0,0.07051234
2025-01-01 08:45:00,-0.0065424372,1.0107532,-1.0,0.08204848
2025-01-01 09:00:00,-0.0098514,1.0007958,-1.0,0.07657909
2025-01-01 09:15:00,-0.008231329,0.99255794,-1.0,0.092705086
2025-01-01 09:30:00,-0.009311021,0.98331624,-1.0,0.10070034
2025-01-01 09:45:00,-0.008204061,0.97524905,-1.0,0.116134726
2025-01-01 10:00:00,-0.0065981043,0.96881425,-1.0,0.118955515
2025-01-01 10:15:00,-0.008148996,0.96091944,-1.0,0.14672726
2025-01-01 10:30:00,-0.00920009,0.9520789,-1.0,0.14913753
2025-01-01 10:45:00,-0.0119381165,0.94071287,-1.0,0.16681421
2025-01-01 11:00:00,-0.010054987,0.93125397,-1.0,0.16902857
2025-01-01 11:15:00,-0.0071098646,0.92463285,-1.0,0.1852055
2025-01-01 11:30:00,-0.0046119695,0.9203685,-1.0,0.21497944
2025-01-01 11:45:00,-0.0071396995,0.9137974,-1.0,0.21568236
2025-01-01 12:00:00,-0.0046691652,0.9095307,-1.0,0.22454076
2025-01-01 12:15:00,-0.0010880223,0.9085411,-1.0,0.22692482
2025-01-01 12:30:00,-0.0026839196,0.9061026,-1.0,0.21799515
2025-01-01 12:45:00,-0.0035596907,0.90287715,-1.0,0.259982
2025-01-01 13:00:00,-0.0038379906,0.8994119,-1.0,0.2288126
2025-01-01 13:15:00,-0.0050913566,0.8948327,-1.0,0.23495921
2025-01-01 13:30:00,-0.0052908417,0.8900982,-1.0,0.22805819
2025-01-01 13:45:00,-0.0033419908,0.8871235,-1.0,0.23748967
2025-01-01 14:00:00,-0.001131695,0.88611954,-1.0,0.24568057
2025-01-01 14:15:00,-0.00369431,0.88284594,-1.0,0.23368919
2025-01-01 14:30:00,-0.005119275,0.8783264,-1.0,0.21710403
2025-01-01 14:45:00,-0.0047697765,0.874137,-1.0,0.22852963
2025-01-01 15:00:00,-0.007571235,0.8675187,-1.0,0.19067399
2025-01-01 15:15:00,-0.005901915,0.8623987,-1.0,0.18477957
2025-01-01 15:30:00,-0.0050256485,0.8580646,-1.0,0.17090015
2025-01-01 15:45:00,-0.003599134,0.8549763,-1.0,0.19843432
2025-01-01 16:00:00,-0.0052284133,0.8505061,-1.0,0.19308428
2025-01-01 16:15:00,-0.008491792,0.8432838,-1.0,0.21452403
2025-01-01 16:30:00,-0.008230453,0.83634317,-1.0,0.21691948
2025-01-01 16:45:00,-0.009428015,0.82845813,-1.0,0.24393468
2025-01-01 17:00:00,-0.010296677,0.81992775,-1.0,0.1977765
2025-01-01 17:15:00,-0.008272117,0.8131452,-1.0,0.22510715
2025-01-01 17:30:00,-0.009829237,0.80515265,-1.0,0.25202468
2025-01-01 17:45:00,-0.0069612996,0.79954773,-1.0,0.2509985
2025-01-01 18:00:00,-0.008995915,0.79235506,-1.0,0.2414607
2025-01-01 18:15:00,-0.004740605,0.78859884,-1.0,0.2167479
2025-01-01 18:30:00,-0.004850233,0.78477395,-1.0,0.22659495
2025-01-01 18:45:00,-0.0028059387,0.7825719,-1.0,0.22304352
2025-01-01 19:00:00,-0.0022056892,0.7808458,-1.0,0.20889406
2025-01-01 19:15:00,-0.007158709,0.775256,-1.0,0.19516379
2025-01-01 19:30:00,-0.007118196,0.76973754,-1.0,0.18121266
2025-01-01 19:45:00,-0.005513653,0.76549345,-1.0,0.16005087
2025-01-01 20:00:00,-0.006705235,0.76036066,-1.0,0.15145178
2025-01-01 20:15:00,-0.0040453123,0.75728476,-1.0,0.13822497
2025-01-01 20:30:00,-0.003090077,0.7549447,-1.0,0.131964
2025-01-01 20:45:00,-0.0009825713,0.7542029,-1.0,0.117857836
2025-01-01 21:00:00,-0.002820714,0.7520755,-1.0,0.11151624
2025-01-01 21:15:00,-0.00083855237,0.7514448,-1.0,0.10842471
2025-01-01 21:30:00,-0.002529388,0.74954414,-1.0,0.11096614
2025-01-01 21:45:00,-0.002844748,0.7474119,-1.0,0.1062007
2025-01-01 22:00:00,-0.0019567038,0.74594945,-1.0,0.09001001
2025-01-01 22:15:00,-0.0034713133,0.74336004,-1.0,0.09174452
2025-01-01 22:30:00,0.00019806362,0.7435072,-1.0,0.089443125
2025-01-01 22:45:00,-0.0023712262,0.74174416,-1.0,0.092253186
2025-01-01 23:00:00,-0.0033568372,0.73925424,-1.0,0.09497743
2025-01-01 23:15:00,-0.0056874636,0.7350497,-1.0,0.0956581
2025-01-01 23:30:00,-0.011406547,0.7266654,-1.0,0.08947564
2025-01-01 23:45:00,-0.011221518,0.7185111,-1.0,0.090772144
2025-01-02 00:00:00,0.0,0.7185111,0.0,0.08587479
2025-01-02 00:15:00,0.0,0.7185111,0.0,0.08560477
2025-01-02 00:30:00,0.0,0.7185111,0.0,0.06900001
2025-01-02 00:45:00,0.0,0.7185111,0.0,0.06621087
2025-01-02 01:00:00,0.0,0.7185111,0.0,0.0580433
2025-01-02 01:15:00,0.0,0.7185111,0.0,0.051195685
2025-01-02 01:30:00,0.0,0.7185111,0.0,0.05614185
2025-01-02 01:45:00,0.0,0.7185111,0.0,0.053755652
2025-01-02 02:00:00,0.0,0.7185111,0.0,0.047110662
2025-01-02 02:15:00,0.0,0.7185111,0.0,0.046557616
2025-01-02 02:30:00,0.0,0.7185111,0.0,0.040547777
2025-01-02 02:45:00,0.0,0.7185111,0.0,0.039570905
2025-01-02 03:00:00,0.0,0.7185111,0.0,0.044043127
2025-01-02 03:15:00,0.0,0.7185111,0.0,0.047122102
2025-01-02 03:30:00,0.0,0.7185111,0.0,0.048065737
2025-01-02 03:45:00,0.0,0.7185111,0.0,0.05390967
2025-01-02 04:00:00,0.0,0.7185111,0.0,0.044774782
2025-01-02 04:15:00,0.0,0.7185111,0.0,0.051630557
2025-01-02 04:30:00,0.0,0.7185111,0.0,0.04955173
2025-01-02 04:45:00,0.0,0.7185111,0.0,0.061946787
2025-01-02 05:00:00,0.0,0.7185111,0.0,0.053664345
2025-01-02 05:15:00,0.0,0.7185111,0.0,0.065940805
2025-01-02 05:30:00,0.0,0.7185111,0.0,0.06486372
2025-01-02 05:45:00,0.0,0.7185111,0.0,0.050860643
2025-01-02 06:00:00,0.0,0.7185111,0.0,0.059126884
2025-01-02 06:15:00,0.0,0.7185111,0.0,0.048992053
2025-01-02 06:30:00,0.0,0.7185111,0.0,0.051675823
2025-01-02 06:45:00,0.0,0.7185111,0.0,0.057819102
2025-01-02 07:00:00,0.0,0.7185111,0.0,0.046411317
2025-01-02 07:15:00,0.0,0.7185111,0.0,0.052582182
2025-01-02 07:30:00,0.0,0.7185111,0.0,0.06041662
2025-01-02 07:45:00,0.0,0.7185111,0.0,0.06571764
2025-01-02 08:00:00,0.0,0.7185111,0.0,0.057407178
2025-01-02 08:15:00,0.0,0.7185111,0.0,0.05711733
2025-01-02 08:30:00,0.0,0.7185111,0.0,0.06170953
2025-01-02 08:45:00,0.0,0.7185111,0.0,0.06360424
2025-01-02 09:00:00,0.0,0.7185111,0.0,0.05288281
2025-01-02 09:15:00,0.0,0.7185111,0.0,0.057919
2025-01-02 09:30:00,0.0,0.7185111,0.0,0.05969381
2025-01-02 09:45:00,0.0,0.7185111,0.0,0.05925777
2025-01-02 10:00:00,0.0,0.7185111,0.0,0.07172977
2025-01-02 10:15:00,0.0,0.7185111,0.0,0.05639824
2025-01-02 10:30:00,0.0,0.7185111,0.0,0.06959087
2025-01-02 10:45:00,0.0,0.7185111,0.0,0.09497429
2025-01-02 11:00:00,0.0,0.7185111,0.0,0.07800925
2025-01-02 11:15:00,0.0,0.7185111,0.0,0.10523982
2025-01-02 11:30:00,0.0,0.7185111,0.0,0.10155078
2025-01-02 11:45:00,0.0,0.7185111,0.0,0.11870261
2025-01-02 12:00:00,0.0,0.7185111,0.0,0.115277916
2025-01-02 12:15:00,0.0,0.7185111,0.0,0.14662585
2025-01-02 12:30:00,0.0,0.7185111,0.0,0.1844486
2025-01-02 12:45:00,0.0,0.7185111,0.0,0.16375662
2025-01-02 13:00:00,0.0,0.7185111,0.0,0.17936991
2025-01-02 13:15:00,0.0,0.7185111,0.0,0.17040661
2025-01-02 13:30:00,0.0,0.7185111,0.0,0.17643069
2025-01-02 13:45:00,0.0,0.7185111,0.0,0.19077054
2025-01-02 14:00:00,0.0,0.7185111,0.0,0.17876638
2025-01-02 14:15:00,0.0,0.7185111,0.0,0.18098584
2025-01-02 14:30:00,0.0,0.7185111,0.0,0.21560834
2025-01-02 14:45:00,0.0,0.7185111,0.0,0.21438901
2025-01-02 15:00:00,0.0,0.7185111,0.0,0.20678604
2025-01-02 15:15:00,0.0,0.7185111,0.0,0.21828936
2025-01-02 15:30:00,0.0,0.7185111,0.0,0.2329139
2025-01-02 15:45:00,0.0,0.7185111,0.0,0.24419221
2025-01-02 16:00:00,0.0,0.7185111,0.0,0.21363296
2025-01-02 16:15:00,0.0,0.7185111,0.0,0.25510302
2025-01-02 16:30:00,0.0,0.7185111,0.0,0.23660365
2025-01-02 16:45:00,0.0,0.7185111,0.0,0.25882682
2025-01-02 17:00:00,0.0,0.7185111,0.0,0.28717825
2025-01-02 17:15:00,0.0,0.7185111,0.0,0.2650403
2025-01-02 17:30:00,0.0,0.7185111,0.0,0.29890212
2025-01-02 17:45:00,0.0,0.7185111,0.0,0.26278433
2025-01-02 18:00:00,0.0,0.7185111,0.0,0.29001534
2025-01-02 18:15:00,0.0,0.7185111,0.0,0.21115145
2025-01-02 18:30:00,0.0,0.7185111,0.0,0.27209887
2025-01-02 18:45:00,0.0,0.7185111,0.0,0.31497875
2025-01-02 19:00:00,0.0,0.7185111,0.0,0.33841944
2025-01-02 19:15:00,0.0,0.7185111,0.0,0.29101324
2025-01-02 19:30:00,0.0,0.7185111,0.0,0.32264844
2025-01-02 19:45:00,0.0,0.7185111,0.0,0.3221171
2025-01-02 20:00:00,0.0,0.7185111,0.0,0.32859585
2025-01-02 20:15:00,0.0,0.7185111,0.0,0.3016741
2025-01-02 20:30:00,0.0,0.7185111,0.0,0.30026573
2025-01-02 20:45:00,0.0,0.7185111,0.0,0.2943424
2025-01-02 21:00:00,0.0,0.7185111,0.0,0.25504643
2025-01-02 21:15:00,0.0,0.7185111,0.0,0.23623882
2025-01-02 21:30:00,0.0,0.7185111,0.0,0.23272833
2025-01-02 21:45:00,0.0,0.7185111,0.0,0.21724989
2025-01-02 22:00:00,0.0,0.7185111,0.0,0.2321915
2025-01-02 22:15:00,0.0,0.7185111,0.0,0.17891559
2025-01-02 22:30:00,0.0,0.7185111,0.0,0.17740649
2025-01-02 22:45:00,0.0,0.7185111,0.0,0.12887019
2025-01-02 23:00:00,0.0,0.7185111,0.0,0.13317712
2025-01-02 23:15:00,0.0,0.7185111,0.0,0.14605238
2025-01-02 23:30:00,0.0,0.7185111,0.0,0.13381693
2025-01-02 23:45:00,0.0,0.7185111,0.0,0.12612809
2025-01-03 00:00:00,0.0,0.7185111,0.0,0.10727848
2025-01-03 00:15:00,0.0,0.7185111,0.0,0.10806579
2025-01-03 00:30:00,0.0,0.7185111,0.0,0.10015595
2025-01-03 00:45:00,0.0,0.7185111,0.0,0.10907137
2025-01-03 01:00:00,0.0,0.7185111,0.0,0.09961115
2025-01-03 01:15:00,0.0,0.7185111,0.0,0.101749785
2025-01-03 01:30:00,0.0,0.7185111,0.0,0.09187659
2025-01-03 01:45:00,0.0,0.7185111,0.0,0.078602746
2025-01-03 02:00:00,0.0,0.7185111,0.0,0.07610456
2025-01-03 02:15:00,0.0,0.7185111,0.0,0.07891197
2025-01-03 02:30:00,0.0,0.7185111,0.0,0.07187097
2025-01-03 02:45:00,0.0,0.7185111,0.0,0.066119514
2025-01-03 03:00:00,0.0,0.7185111,0.0,0.06463747
2025-01-03 03:15:00,0.0,0.7185111,0.0,0.0558984
2025-01-03 03:30:00,0.0,0.7185111,0.0,0.049777396
2025-01-03 03:45:00,0.0,0.7185111,0.0,0.058474842
2025-01-03 04:00:00,0.0,0.7185111,0.0,0.051587354
2025-01-03 04:15:00,0.0,0.7185111,0.0,0.05657758
2025-01-03 04:30:00,0.0,0.7185111,0.0,0.048711527
2025-01-03 04:45:00,0.0,0.7185111,0.0,0.049170732
2025-01-03 05:00:00,0.0,0.7185111,0.0,0.049090203
2025-01-03 05:15:00,0.0,0.7185111,0.0,0.05240664
2025-01-03 05:30:00,0.0,0.7185111,0.0,0.050716784
2025-01-03 05:45:00,0.0,0.7185111,0.0,0.050204985
2025-01-03 06:00:00,0.0,0.7185111,0.0,0.050665807
2025-01-03 06:15:00,0.0,0.7185111,0.0,0.047316603
2025-01-03 06:30:00,0.0,0.7185111,0.0,0.0539064
2025-01-03 06:45:00,0.0,0.7185111,0.0,0.05558908
2025-01-03 07:00:00,0.0,0.7185111,0.0,0.054415964
2025-01-03 07:15:00,0.0,0.7185111,0.0,0.054967716
2025-01-03 07:30:00,0.0,0.7185111,0.0,0.054566316
2025-01-03 07:45:00,0.0,0.7185111,0.0,0.05432846
2025-01-03 08:00:00,0.0,0.7185111,0.0,0.05411202
2025-01-03 08:15:00,0.0,0.7185111,0.0,0.055480406
2025-01-03 08:30:00,0.0,0.7185111,0.0,0.057706974
2025-01-03 08:45:00,0.0,0.7185111,0.0,0.060048196
2025-01-03 09:00:00,0.0,0.7185111,0.0,0.06594227
2025-01-03 09:15:00,0.0,0.7185111,0.0,0.06370836
2025-01-03 09:30:00,0.0,0.7185111,0.0,0.077129744
2025-01-03 09:45:00,0.0,0.7185111,0.0,0.07296704
2025-01-03 10:00:00,0.0,0.7185111,0.0,0.08114708
2025-01-03 10:15:00,0.0,0.7185111,0.0,0.065673485
2025-01-03 10:30:00,0.0,0.7185111,0.0,0.07258291
2025-01-03 10:45:00,0.0,0.7185111,0.0,0.06942931
2025-01-03 11:00:00,0.0,0.7185111,0.0,0.06791658
2025-01-03 11:15:00,0.0,0.7185111,0.0,0.0744081
2025-01-03 11:30:00,0.0,0.7185111,0.0,0.06138173
2025-01-03 11:45:00,0.0,0.7185111,0.0,0.062080447
2025-01-03 12:00:00,0.0,0.7185111,0.0,0.059892688
2025-01-03 12:15:00,0.0,0.7185111,0.0,0.06016403
2025-01-03 12:30:00,0.0,0.7185111,0.0,0.0639013
2025-01-03 12:45:00,0.0,0.7185111,0.0,0.05770931
2025-01-03 13:00:00,0.0,0.7185111,0.0,0.060853392
2025-01-03 13:15:00,0.0,0.7185111,0.0,0.07054101
2025-01-03 13:30:00,0.0,0.7185111,0.0,0.064023316
2025-01-03 13:45:00,0.0,0.7185111,0.0,0.06319804
2025-01-03 14:00:00,0.0,0.7185111,0.0,0.05573578
2025-01-03 14:15:00,0.0,0.7185111,0.0,0.04888491
2025-01-03 14:30:00,0.0,0.7185111,0.0,0.057568967
2025-01-03 14:45:00,0.0,0.7185111,0.0,0.06369642
2025-01-03 15:00:00,0.0,0.7185111,0.0,0.062870756
2025-01-03 15:15:00,0.0,0.7185111,0.0,0.06651701
2025-01-03 15:30:00,0.0,0.7185111,0.0,0.06652705
2025-01-03 15:45:00,0.0,0.7185111,0.0,0.07083266
2025-01-03 16:00:00,0.0,0.7185111,0.0,0.066315316
2025-01-03 16:15:00,0.0,0.7185111,0.0,0.08014736
2025-01-03 16:30:00,0.0,0.7185111,0.0,0.077967666
